# reward	DS0	DS1	DS2	DS3	_DS4	Rft	Casualty	Cost	Resilce	CarbnEm	Enbbd
404.0008770894318	201.0	117.0	110.0	36.0	10.0	3447584.345043106	22.0	1773069.5693010339	78424.99113074795	23886.409836799532	74945.15425305902
401.0805533834855	212.0	109.0	98.0	42.0	13.0	3474196.1148782624	50.0	2312903.0912661897	77428.18811675446	35509.408233278096	96980.17134753795
403.9706196987173	224.0	103.0	104.0	30.0	13.0	3541408.729277382	12.0	1995995.5921957337	80064.62557352343	26244.220800576735	80602.64856642156
403.36793143643524	205.0	93.0	131.0	39.0	6.0	3492200.4180525905	15.0	1820760.9730541355	78016.46981883183	24061.718452146248	78332.02686315002
404.70234269557454	213.0	114.0	100.0	36.0	11.0	3426751.7979126954	35.0	1880575.3182850054	72688.96285456979	28284.826340041094	76258.32793966001
399.24520006016894	192.0	113.0	115.0	38.0	16.0	3473943.321505839	25.0	2304146.441467911	81252.40469787279	36156.34950034677	97359.05972263784
403.34458000374707	209.0	114.0	92.0	51.0	8.0	3485401.9013205417	10.0	1892806.919978757	76349.91015545148	25433.479562061177	79358.8573279767
403.12947754289075	223.0	110.0	99.0	28.0	14.0	3545504.4615299804	34.0	1713815.2299823605	78836.59393162097	28541.856173497374	72894.49932880703
401.6397743699925	215.0	98.0	103.0	45.0	13.0	3499282.2746897014	11.0	2136070.3471219586	77058.37689938053	33194.05371856183	90100.04094567736
399.29444598954876	210.0	102.0	98.0	49.0	15.0	3454720.3438446308	23.0	2154768.2788242595	79814.62226707424	30889.056461164404	93504.1376046243
408.12920554865605	222.0	110.0	106.0	25.0	11.0	3424631.3847876117	30.0	1606194.2686595507	71140.73267476683	23508.945083887105	70498.48074346344
401.66084348130784	222.0	109.0	92.0	37.0	14.0	3467141.4723751447	30.0	1993196.3318429673	75855.96872650695	33341.797926642714	85669.58672291625
401.66004622910657	208.0	114.0	94.0	42.0	16.0	3468928.3237644252	46.0	2417179.857597607	79165.057675076	35559.13813097257	98470.63560411113
406.70356883174827	215.0	111.0	109.0	30.0	9.0	3457502.651589756	28.0	1584701.148428834	71347.95117801179	22239.271268232937	72290.03901957773
401.736402665323	205.0	115.0	101.0	39.0	14.0	3478768.2986566285	25.0	2037547.6429761937	76874.33500151243	27761.495980522617	83155.1317155999
401.605844281194	196.0	109.0	116.0	40.0	13.0	3482400.805292789	38.0	2067401.5057827223	78262.5216757896	30525.47484654635	86288.18235152832
402.29371512295904	206.0	106.0	112.0	36.0	14.0	3439139.964500051	32.0	2087363.6137815954	78449.7189605135	29586.467105739743	88375.47327614977
403.2786776751515	187.0	129.0	111.0	42.0	5.0	3530264.539384365	3.0	1839630.6455433164	80473.02270213969	24877.573956491025	78127.71167158234
399.0082260452415	205.0	110.0	107.0	40.0	12.0	3482803.578596888	25.0	2270304.022237803	80820.24520766278	33694.78047914014	96508.75428096516
402.04084484101554	214.0	103.0	108.0	36.0	13.0	3522536.6406549737	27.0	1944930.1167416126	77660.92658060939	29641.801140217773	84743.54117562201
400.3733106884548	211.0	100.0	109.0	38.0	16.0	3424779.316956944	41.0	2188565.931634462	80026.20282525253	32567.35858596466	91952.7891094947
405.35177975927445	215.0	107.0	111.0	32.0	9.0	3448347.005496345	46.0	1674526.2640765775	73448.62059286564	30894.206691806492	72036.81826990918
403.26218410152717	210.0	110.0	101.0	43.0	10.0	3520389.504152702	13.0	2022082.9557396977	79556.77562413382	28221.882534572578	82092.24314586382
399.3459805936741	195.0	113.0	107.0	46.0	13.0	3404242.327554937	26.0	2092596.9968791865	80443.09535916905	32945.5423447566	90568.3584009315
400.72338434707467	216.0	96.0	114.0	32.0	16.0	3515661.507948264	39.0	2215552.1985188434	76169.13837121929	32765.671121881667	89661.15534659814
400.44750794142	204.0	107.0	112.0	32.0	19.0	3525606.388643642	31.0	2316601.07611769	79602.81874476356	29078.62680062726	94941.25886129435
398.42730329965184	207.0	104.0	103.0	43.0	17.0	3408288.5256102188	27.0	2248769.065564939	76556.65305520067	31308.804256005777	94660.23197250415
404.9061401226922	215.0	123.0	91.0	27.0	18.0	3472293.693606505	15.0	2042288.858914183	73050.47153179994	27561.632213751458	88713.93087592689
402.0327206403145	205.0	112.0	101.0	42.0	14.0	3569535.953122168	21.0	2248826.016356731	80207.59353138378	32781.42250782902	91821.82316121878
404.59126652924266	218.0	112.0	97.0	38.0	9.0	3426670.3482401646	14.0	1732312.603890228	75383.55287495772	23874.422895867527	74177.91006570662
401.32598246927824	223.0	93.0	107.0	37.0	14.0	3485757.4415254607	26.0	1968438.2796197922	77931.36952364084	33269.469244016	83478.69754736367
405.0451879984532	214.0	112.0	102.0	37.0	9.0	3421928.1381138638	20.0	1814937.819043043	75873.99171550984	26316.970309760407	73835.32376259472
